City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vernon,25.5292,23.4692,20.98,32,0,3.89,LY,1683320609
83,alhama de granada,53.2188,12.4043,9.27,80,100,7.39,DE,1683320610
84,babolsar,26.2289,9.4307,25.9,14,52,3.49,LY,1683320610
85,consuegra,36.6288,-95.985,24.43,73,75,5.66,US,1683320610
86,devinuwara,54.5196,45.6346,6.86,92,100,3.8,RU,1683320612
87,martapura,51.5659,21.4386,10.29,56,95,4.04,PL,1683320612
88,naze,45.9869,-75.2023,13.88,53,84,2.27,CA,1683320614
89,hayma',64.4197,116.3115,0.28,99,100,2.91,RU,1683320614
90,sabzevar,57.9195,-155.8038,2.77,89,100,2.74,US,1683320615
91,miri,17.4253,-60.7633,27.04,74,99,4.92,AG,1683320615
92,chos malal,55.4746,125.7038,-2.17,92,100,1.69,RU,1683320615
93,santa cruz,49.5435,116.468,7.44,25,100,1.84,RU,1683320616
94,saldanha,7.2006,-66.1222,34.59,30,100,3.34,VE,1683320617
95,williams,38.4172,-77.1696,22.06,43,75,1.54,US,1683320617
96,zag,-8.8021,-43.3294,26.17,57,94,1.85,BR,1683320617
97,comodoro rivadavia,2.4899,-62.2668,30.68,43,100,2.15,BR,1683320618
98,beeville,-14.0389,-70.1322,5.1,88,100,2.67,PE,1683320618
99,arawa,-18.9771,-43.2243,20.91,78,97,1.87,BR,1683320620
100,leeton,33.5773,4.4555,27.01,19,98,2.33,DZ,1683320620
101,westport,26.9442,-99.9527,38.36,29,24,6.96,MX,1683320622
102,al bardiyah,-1.4136,12.8553,21.55,96,99,1.02,GA,1683320622
103,taoudenni,37.1028,31.5716,8.99,87,8,1.06,TR,1683320623
104,sormiou,46.9605,-112.3138,16.05,71,100,1.31,US,1683320623
105,bel ombre,62.075,-145.9969,1.07,92,100,1.23,US,1683320623
106,san luis de la loma,-1.2971,7.8297,27.92,76,81,5.07,GA,1683320624
107,pemangkat,0.9278,98.3048,27.57,77,59,2.96,ID,1683320624
108,konarka,-21.4416,166.2341,24.82,75,0,2.21,NC,1683320624
109,port saint john's,70.6517,-134.0452,-0.23,85,100,3.62,CA,1683320624
110,berdigestyakh,8.3365,38.4032,11.2,82,100,0.7,ET,1683320624
111,fernie,23.0625,89.6488,26.44,82,0,2.7,BD,1683320625
112,tapa,-7.5388,40.0907,27.31,76,2,6.47,TZ,1683320625
113,kuala tungkal,12.2451,11.4473,29.81,40,91,5.23,NG,1683320625
114,abohar,6.2117,-11.3781,28.67,76,63,4.88,LR,1683320625
115,ulsteinvik,61.23,120.0885,1.91,95,100,3.72,RU,1683320626
116,grand falls-windsor,30.8948,117.337,17.17,93,98,2.88,CN,1683320626
117,prince rupert,65.5804,-140.8182,4.89,63,11,0.91,US,1683320626
118,guerrero negro,47.8957,-67.498,12.07,45,61,4.28,CA,1683320628
119,savanna-la-mar,44.623,138.0232,4.47,77,14,10.13,RU,1683320628
120,soledad de doblado,50.5814,112.4408,-0.89,57,100,1.83,RU,1683320628
121,marka,11.3064,103.4866,24.48,95,34,0.72,KH,1683320628
122,benguela,65.6126,-120.9292,5.94,72,46,3.86,CA,1683320629
123,az zawr,4.1606,12.049,21.59,91,100,0.98,CM,1683320629
124,poronaysk,38.5279,-117.2618,11.89,22,100,5.32,US,1683320629
125,orland,-14.8022,-42.1476,24.12,49,35,2.57,BR,1683320630
126,kuching,61.6621,147.5094,-4.08,81,77,1.06,RU,1683320630
127,ponta delgada,21.2678,-71.4609,27.39,78,0,6.01,TC,1683320630
128,banjar,1.641,10.5558,20.88,98,100,1.27,GQ,1683320630
129,portales,43.9044,34.801,14.58,70,98,3.34,UA,1683320631
130,calvinia,40.0419,-81.5604,20.97,37,0,0.0,US,1683320631
131,natchez,71.7972,-125.8592,-0.23,90,100,0.78,CA,1683320632
132,colonia,64.9413,84.8414,-1.07,93,75,7.41,RU,1683320632
133,cova figueira,3.9187,-1.2103,28.91,73,27,5.33,GH,1683320632
134,new norfolk,59.5547,-134.7969,7.61,89,100,1.41,CA,1683320633
135,bharatpur,70.4881,149.3203,-13.17,88,100,2.41,RU,1683320633
136,leh,41.0084,-7.8132,8.77,88,42,1.52,PT,1683320633
137,kolonia,5.2969,-53.0195,25.16,89,56,3.48,GF,1683320634
138,cuencame de ceniceros,56.0805,95.705,7.72,77,100,7.2,RU,1683320634
139,ivolginsk,11.2267,14.8658,34.86,19,64,1.85,CM,1683320634
140,chipinge,-28.2466,18.6136,19.69,26,100,2.98,NA,1683320634
141,mugia,-5.3385,-45.8256,24.98,90,73,0.76,BR,1683320635
142,dalandzadgad,41.1585,-69.7855,11.08,76,97,6.99,US,1683320636
143,mar del plata,-36.8096,146.5761,6.6,97,100,0.29,AU,1683320637
144,porto cristo,57.8193,-158.0817,1.1,89,80,3.35,US,1683320637
145,cole harbour,-42.7379,149.2926,12.43,50,100,8.94,AU,1683320637
146,dubbo,35.719,16.2524,17.61,77,0,4.15,IT,1683320639
147,point pedro,-44.6423,171.2045,14.5,72,0,2.4,NZ,1683320639
148,ardestan,40.6257,-101.5579,26.96,32,0,6.69,US,1683320639
149,elkins,64.9139,151.2322,-0.78,95,91,1.63,RU,1683320640
150,fauske,-34.5502,-67.2549,19.92,48,75,4.22,AR,1683320641
151,pisco,59.4403,-148.9558,5.17,77,100,1.87,US,1683320641
152,i-n-salah,49.2317,69.3988,11.5,34,1,3.67,KZ,1683320641
153,fuvahmulah,66.9658,-22.9011,6.16,94,100,2.6,IS,1683320641
154,tsengel,11.8624,-15.0478,26.98,77,8,5.1,GW,1683320642
155,fernley,40.3446,-8.485,17.05,94,14,0.25,PT,1683320642
156,torbat-e jam,-22.9389,145.1885,15.67,81,0,4.13,AU,1683320642
157,mil'kovo,-33.3866,-71.497,15.38,60,6,2.4,CL,1683320643
